Title_Review,Pros,Cons,id,Stars,Company_name,Recommend,CEO_approval,Business_outlook,Location,Date,Employee_type,Employee_sen,neg,neu,pos,pros_comp,neg,neu,pos,cons_comp,avg_comp,pros_sent,cons_sent,avg_sent
"['good', 'far']","['great', 'experience', 'really', 'smart', 'people', 'around', 'great', 'benefit', 'work-life', 'balance']","['legacy', 'affect', 'life', 'career', 'opportunity', 'straightforward']",empReview_73059484,5.0,Amazon,positive,error,positive,"Vancouver, BC",2023-01-27,current employee,<1 yrs,0.0,0.444,0.556,0.9299,0.0,0.823,0.177,0.4215,0.6757,positive,positive,positive
"['security', 'officer']","['.big', 'company', 'work', '.more', 'hour', 'available', 'work', '.many', 'position', 'available', 'work', '.standing', 'sit', 'walk', '.benefits']","['.supervisor', 'donnot', 'allow', 'learn', 'thing', '.not', 'criterion', 'seniority', 'basis', 'get', 'ladder']",empReview_73066081,5.0,Amazon,neutral,neutral,neutral,"Brampton, ON",2023-01-27,former employee,,0.0,0.86,0.14,0.3818,0.0,0.899,0.101,0.2263,0.30405,positive,positive,positive
['yes'],"['amaze', 'place', 'work', 'learn']","['nothing', 'wrong', 'expect', 'pay', 'banana']",empReview_73067330,5.0,Amazon,positive,positive,positive,"Toronto, ON",2023-01-27,current employee,,0.0,0.568,0.432,0.5859,0.128,0.639,0.233,0.2856,0.43574999999999997,positive,positive,positive
"['fulfillment', 'associate']","['diversity', 'management', 'opportunity', 'grow', 'good', 'compensation']","['injury', 'like', 'repetitive', 'stress', 'injury']",empReview_73071324,4.0,Amazon,positive,positive,positive,"Brampton, ON",2023-01-27,current employee,1-3 yrs,0.0,0.476,0.524,0.6705,0.516,0.215,0.269,-0.3182,0.17615,positive,negative,positive
"['good', 'try', 'short', 'term', 'career']","['get', 'bore', 'fun', 'like', 'drive', 'pgysical', 'activity', 'clean', 'professional', 'workplace']","['long', 'shift', 'physically', 'drmanding', 'difficult', 'winter']",empReview_73077545,4.0,Amazon,positive,neutral,neutral,"Montreal, QC",2023-01-28,former employee,<1 yrs,0.0,0.576,0.424,0.8524,0.285,0.715,0.0,-0.4201,0.21615000000000004,positive,negative,positive
"['big', 'company']","['good', 'pay', 'good', 'faang', 'resume']","['work', 'life', 'balance', 'good']",empReview_73082914,4.0,Amazon,positive,negative,error,"Toronto, ON",2023-01-28,current employee,1-3 yrs,0.106,0.455,0.439,0.6597,0.325,0.675,0.0,-0.3412,0.15924999999999997,positive,negative,positive
"['work', 'life']","['management', 'good', 'listen', 'concern', 'address']","['politics', 'management', 'favour', 'employee']",empReview_73001727,4.0,Amazon,neutral,neutral,neutral,"Calgary, AB",2023-01-25,current employee,1-3 yrs,0.0,0.791,0.209,0.4404,0.0,0.641,0.359,0.4215,0.43095,positive,positive,positive
"['great', 'place', 'work', 'grow', 'career']","['get', 'work', 'best', 'talent', 'around', 'sdes/sdms', 'always', 'willing', 'share', 'information', 'help', 'towards', 'work', 'goal', 'operational', 'process', 'transparent', 'hence', 'less', 'toxicity', 'bias', 'leadership', 'principle', 'follow', 'religiously', 'therefore', 'serve', 'guide', 'light', 'work', 'hard', 'deliver', 'grow', 'otherwise', 'easy', 'sustain', 'fast-paced', 'environment']","['9-5', 'job', 'compensation', 'sort', 'dictate', 'expect', 'deliver', 'best', 'prepared', 'hustle', 'transform', 'good', 'version', 'otherwise', 'place', 'no-frills', 'term', 'misc', 'benefit', 'free', 'swags/lunches/events', 'amazon', 'practice', 'frugality', 'operation', 'one', 'leadership', 'principles', ""n't"", 'expect', 'pamper']",empReview_73016558,4.0,Amazon,positive,positive,positive,"Toronto, ON",2023-01-26,current employee,<1 yrs,0.049,0.796,0.155,0.8517,0.0,0.783,0.217,0.9421,0.8969,positive,positive,positive
"['relaxed', 'environment']","['good', 'pay', 'work', 'life', 'balance']","['slow', 'career', 'progression', ""'s"", 'quite', 'lot', 'fat', 'company']",empReview_72969587,4.0,Amazon,positive,positive,neutral,"Toronto, ON",2023-01-25,former employee,1-3 yrs,0.151,0.538,0.312,0.3612,0.0,1.0,0.0,0.0,0.1806,positive,negative,positive
['amazon'],"['encourage', 'safety', 'good', 'work', 'environment']","['much', 'physical', 'pressure', 'long', 'shift']",empReview_72978191,4.0,Amazon,negative,error,error,,2023-01-25,current employee,,0.0,0.308,0.692,0.8402,0.268,0.732,0.0,-0.296,0.2721,positive,negative,positive
"['flexible', 'challenge', 'rewarding']","['great', 'environment', 'teammate', 'follow', 'leadership', 'principle', 'remote', 'pretty', 'flexible', 'good', 'benefit', 'pay', 'challenge', 'thus', 'promote', 'growth', 'sde']","['1', 'week', 'oncall', 'pain', 'sometimes', 'happen', 'every', '2.5', '-3', 'month', 'still', 'bearable']",empReview_72922433,5.0,Amazon,positive,positive,positive,"Montreal, QC",2023-01-23,current employee,<1 yrs,0.034,0.436,0.53,0.9611,0.102,0.898,0.0,-0.2846,0.33824999999999994,positive,negative,positive
"['great', 'company']","['great', 'review', 'process', 'good', 'pay', 'benefit']","['work', 'life', 'balance', 'difficult', 'depend', 'bos']",empReview_72906619,4.0,Amazon,positive,positive,positive,"Toronto, ON",2023-01-23,current employee,3-5 yrs,0.098,0.21,0.692,0.8588,0.217,0.783,0.0,-0.3612,0.2488,positive,negative,positive
['fine'],"['busy', 'little', 'money', 'hard', 'work']","['late', 'night', 'benefit', 'motivation']",empReview_72912648,4.0,Amazon,neutral,neutral,neutral,,2023-01-23,former employee,,0.219,0.781,0.0,-0.0314,0.236,0.463,0.301,0.1441,0.056350000000000004,negative,positive,negative
"['best', 'option', 'vancouver', '...']","['pay', 'cash', 'big', 'name', 'multiple', 'office', 'location', 'expand', 'nice']","['team', 'might', 'toxic', 'inevitable', 'since', ""'s"", 'amazon', 'heavy', 'oncall', 'duty', 'unlock', '20', 'total', 'rsus', '2', 'year', 'work', 'bonus']",empReview_72920771,4.0,Amazon,neutral,error,error,"Vancouver, BC",2023-01-23,former employee,1-3 yrs,0.06,0.819,0.121,0.34,0.085,0.864,0.051,-0.2846,0.027700000000000002,positive,negative,negative
"['amazing', 'place']","['good', 'place', 'work', 'come', 'benefit']","[""'s"", 'fast', 'pace', 'work', 'place']",empReview_72939150,4.0,Amazon,positive,positive,positive,"Toronto, ON",2023-01-24,current employee,<1 yrs,0.0,0.522,0.478,0.6705,0.0,1.0,0.0,0.0,0.33525,positive,negative,positive
"['great', 'workplace']","['growth', 'project', 'always']","['work', 'life', 'balance', 'tough', 'manage']",empReview_72879204,5.0,Amazon,neutral,neutral,neutral,"Toronto, ON",2023-01-22,current employee,,0.0,0.698,0.302,0.3818,0.2,0.8,0.0,-0.128,0.12689999999999999,positive,negative,positive
"['good', 'work', 'environment']","['learn', 'thing']","['growth', 'slow']",empReview_72644026,4.0,Amazon,positive,error,positive,,2023-01-15,former employee,,0.0,1.0,0.0,0.0,0.0,0.606,0.394,0.3818,0.1909,negative,positive,positive
"['good', 'place', 'entry', 'level', 'job']","['good', 'pay', '4-day', 'shift', 'easy', 'job']","['physical', 'labor', 'stand', 'much', 'time', 'punjab', 'might', 'find', 'bit', 'hard', 'fit']",empReview_72624962,5.0,Amazon,positive,neutral,neutral,"Delta, BC",2023-01-14,former employee,<1 yrs,0.137,0.294,0.569,0.6597,0.059,0.837,0.105,0.2732,0.46645,positive,positive,positive
"['amazing', 'experience']","['good', 'pay', 'good', 'holiday', 'benefit']","['work', 'everyday', 'lot', 'body', 'pain']",empReview_72631932,5.0,Amazon,negative,error,negative,"Hamilton, ON",2023-01-14,current employee,1-3 yrs,0.112,0.0,0.888,0.8658,0.32,0.68,0.0,-0.5106,0.17759999999999998,positive,negative,positive
"['poor', 'work', 'life', 'balance', 'job', 'security']","['good', 'pay', 'compare', 'canadian', 'company', 'lot', 'internal', 'resource']","['call', 'hour', 'long', 'pip', 'layoff', 'resource', 'internal']",empReview_73089781,2.0,Amazon,neutral,neutral,neutral,"Vancouver, BC",2023-01-28,current employee,<1 yrs,0.098,0.699,0.203,0.3612,0.0,1.0,0.0,0.0,0.1806,positive,negative,positive
"['great', 'experience']","['nice', 'coworkers', 'make', 'job', 'fun']","['shift', 'long', 'busy']",empReview_72615338,4.0,Amazon,positive,positive,positive,,2023-01-13,former employee,3-5 yrs,0.0,0.396,0.604,0.7269,0.0,1.0,0.0,0.0,0.36345,positive,negative,positive
"['first', '3', 'month', 'amazon']","['well', 'plan', 'onboarding', 'program', 'incrementally', 'onboards', 'educate', 'new', 'employee', 'employee', 'company', 'make', 'accessible', 'welcome', 'connect', 'spite', 'scale', 'success', 'amazon', 'able', 'build', 'culture', 'value', 'leadership', 'principle', 'importantly', 'environment', 'constantly', 'put', 'practice']","['due', 'shear', 'scale', 'size', 'join', 'company', 'involve', 'learn', 'host', 'new', 'system', 'teams', 'structure', 'process', 'give', 'time']",empReview_72595190,5.0,Amazon,positive,positive,neutral,"Toronto, ON",2023-01-13,current employee,<1 yrs,0.047,0.732,0.221,0.8899,0.0,1.0,0.0,0.0,0.44495,positive,negative,positive
['good'],"['good', 'company', 'high', 'pay', 'job']","['heavy', 'work', 'load', 'fast', 'phase']",empReview_73050228,3.0,Amazon,neutral,neutral,neutral,,2023-01-27,former employee,,0.169,0.482,0.349,0.3612,0.0,1.0,0.0,0.0,0.1806,positive,negative,positive
"['amazon', 'overnight', 'stocker']","['good', 'pay', 'compare', 'job']","['work', 'hard', 'body', 'sustain', 'long', 'time']",empReview_73053494,3.0,Amazon,neutral,neutral,neutral,"Vaughan, ON",2023-01-27,former employee,<1 yrs,0.17,0.507,0.323,0.3642,0.104,0.896,0.0,-0.1027,0.13075,positive,negative,positive
['awesome'],"['co', 'worker', 'really', 'nice']","['sucky', 'hour', 'pay']",empReview_72536361,5.0,Amazon,negative,neutral,negative,,2023-01-11,current employee,,0.0,0.564,0.436,0.4754,0.589,0.411,0.0,-0.5106,-0.017600000000000032,positive,negative,negative
['great'],"['driver', 'snack', 'shack', 'good', 'working', 'environment']","['extreme', 'physical', 'activity', 'require', 'daily', 'carry', 'duty']",empReview_72558176,4.0,Amazon,positive,positive,positive,,2023-01-12,current employee,,0.0,0.674,0.326,0.4404,0.0,1.0,0.0,0.0,0.2202,positive,negative,positive
['amazon'],"['great', 'work', 'environment']","['one', 'one', 'session', 'improve', 'performance']",empReview_72986345,3.0,Amazon,neutral,neutral,neutral,,2023-01-25,former employee,,0.0,0.549,0.451,0.6249,0.0,0.781,0.219,0.4215,0.5232,positive,positive,positive
['alright'],"['4', 'day', '3', 'day']","['worklife', 'balance', 'long', 'shift', 'overtime']",empReview_73003431,3.0,Amazon,neutral,neutral,neutral,"Surrey, BC",2023-01-25,former employee,1-3 yrs,0.0,1.0,0.0,0.0,0.268,0.732,0.0,-0.296,-0.148,negative,negative,negative
"['data', 'analyst']","['good', 'time']","['nothing', 'add', 'good']",empReview_72498977,5.0,Amazon,neutral,neutral,neutral,,2023-01-10,former employee,1-3 yrs,0.0,0.556,0.444,0.4927,0.0,0.707,0.293,0.4404,0.46655,positive,positive,positive
"['good', 'part', 'amaze', 'team']","['opportunity', 'learn', 'quickly', 'efficiently']","['act', 'like', 'robot', 'match', 'pace']",empReview_72503433,5.0,Amazon,positive,positive,positive,"Toronto, ON",2023-01-10,former employee,1-3 yrs,0.0,0.421,0.579,0.6705,0.0,0.8,0.2,0.3612,0.51585,positive,positive,positive
"['good', 'working', 'environment']","['staff', 'polite', 'helpful']","['nothing', 'nothing', 'bad', 'experience', 'yet']",empReview_72457754,5.0,Amazon,positive,positive,positive,,2023-01-09,current employee,,0.0,0.62,0.38,0.4703,0.0,0.737,0.263,0.431,0.45065,positive,positive,positive
"['warehouse', 'associate']","['good', 'environment', 'work', 'amazon']","['timing', 'available', 'work', 'amazon']",empReview_72464791,5.0,Amazon,positive,error,error,,2023-01-09,former employee,,0.0,0.465,0.535,0.5574,0.0,0.746,0.254,0.1779,0.36765000000000003,positive,positive,positive
"['great', 'interview', 'experience']","['well', 'structure', 'interview', 'process', 'behavior', 'question', 'make', 'candidate', 'understand', 'work', 'culture', 'amazon']","['great', 'interview', 'process']",empReview_72466084,5.0,Amazon,neutral,neutral,neutral,,2023-01-09,current employee,,0.0,0.817,0.183,0.4215,0.0,0.594,0.406,0.6249,0.5232,positive,positive,positive
"['long', 'hour', 'great', 'pay']","['get', 'pizza', 'party', 'week']","['get', 'property', 'bezos', '``', 'tatto', 'rear', 'buttock']",empReview_72470738,5.0,Amazon,positive,positive,positive,"Toronto, ON",2023-01-09,current employee,<1 yrs,0.0,0.722,0.278,0.4019,0.0,1.0,0.0,0.0,0.20095,positive,negative,positive
"['work', 'culture']","['nice', 'pay', 'good']","['bad', 'take', 'much', 'work']",empReview_72459227,4.0,Amazon,neutral,neutral,neutral,,2023-01-09,current employee,<1 yrs,0.154,0.22,0.626,0.6486,0.368,0.632,0.0,-0.5423,0.053149999999999975,positive,negative,negative
"['good', 'opportunity']","['opportunity', 'learn', 'grow']","['much', 'work', 'time', 'less', 'staff']",empReview_72464788,4.0,Amazon,positive,neutral,positive,,2023-01-09,former employee,1-3 yrs,0.0,0.588,0.412,0.4215,0.0,1.0,0.0,0.0,0.21075,positive,negative,positive
['good'],"['good', 'opportunity', 'easy', 'transfer', 'team']","['low', 'performer', 'manage']",empReview_72295158,5.0,Amazon,positive,positive,positive,"Toronto, ON",2023-01-03,current employee,3-5 yrs,0.0,0.323,0.677,0.8126,0.344,0.656,0.0,-0.2732,0.2697,positive,negative,positive
"['great', 'entry', 'level', 'job']","['fast', 'advancement', 'work', 'overtime', 'want']","['mandatory', 'overtime', 'short', 'notice', 'repetitive', 'work']",empReview_72281555,4.0,Amazon,positive,negative,positive,"Westminster, BC",2023-01-03,former employee,1-3 yrs,0.0,1.0,0.0,0.0,0.241,0.602,0.157,-0.1779,-0.08895,negative,negative,negative
"['amazon', 'work']","['learn', 'new', 'technology', 'understand', 'core', 'service', 'work']","['excellent', 'career', 'growth', 'development', 'multiple', 'growth', 'choice']",empReview_72253117,5.0,Amazon,neutral,neutral,neutral,,2023-01-02,current employee,,0.0,1.0,0.0,0.0,0.0,0.31,0.69,0.836,0.418,negative,positive,positive
"['pretty', 'decent']","['great', 'benefit', 'positive', 'work', 'environment']","['heavy', 'workload', 'hard', 'reach', 'hr']",empReview_72260841,4.0,Amazon,positive,error,positive,"Vancouver, BC",2023-01-02,current employee,1-3 yrs,0.0,0.28,0.72,0.8834,0.165,0.706,0.129,-0.0772,0.40309999999999996,positive,negative,positive
['good'],"['good', 'tc', 'nice', 'people', 'good', 'work', 'place']","['work', 'challenge']",empReview_72273175,4.0,Amazon,neutral,neutral,neutral,"Vancouver, BC",2023-01-03,former employee,1-3 yrs,0.0,0.317,0.683,0.8225,0.265,0.735,0.0,-0.1139,0.3543,positive,negative,positive
"['amazon', 'new', 'grad']","['good', 'start', 'point', 'new', 'grad']","['need', 'care', 'manager', 'product', 'manager']",empReview_72682678,3.0,Amazon,positive,error,error,,2023-01-16,former employee,1-3 yrs,0.0,0.674,0.326,0.4404,0.0,0.714,0.286,0.4939,0.46715,positive,positive,positive
"['lovely', 'management']","['management', 'really', 'care', 'employee', 'career', 'driven']","['con', 'say']",empReview_72241018,5.0,Amazon,positive,positive,positive,"Vancouver, BC",2023-01-01,former employee,1-3 yrs,0.0,0.744,0.256,0.4754,0.268,0.732,0.0,-0.296,0.0897,positive,negative,negative
['hyped'],"['motivation', 'salary']","['work-life', 'balance', 'team', 'dynamic', 'culture', 'zero', 'sum', 'mindset', 'favoritism', 'bias', 'promotion', 'fact', 'base', 'support', 'team', 'member', 'knowledge', 'share', 'token', 'dei', 'initatives']",empReview_72687369,2.0,Amazon,negative,positive,positive,"Toronto, PE",2023-01-16,current employee,1-3 yrs,0.289,0.711,0.0,-0.2584,0.11,0.692,0.198,0.4482,0.09489999999999998,negative,positive,negative
"['software', 'dev', 'engineer', 'intern']","['great', 'work', 'environment', 'engage', 'project']","['food', 'available', 'lunch', 'dinner']",empReview_72236919,4.0,Amazon,neutral,neutral,neutral,"Toronto, ON",2023-01-01,former employee,<1 yrs,0.0,0.316,0.684,0.7579,0.268,0.732,0.0,-0.296,0.23095000000000002,positive,negative,positive
"['high', 'speed', 'company']","['work', 'day', 'per', 'week', '4', 'amazon', 'learn', 'speed', 'personal', 'growth']","['shift', 'rotation', 'every', '6', 'month', 'work', 'one', 'day', 'weekend']",empReview_72652208,3.0,Amazon,neutral,neutral,neutral,"Vancouver, BC",2023-01-15,current employee,1-3 yrs,0.0,0.677,0.323,0.5106,0.0,1.0,0.0,0.0,0.2553,positive,negative,positive
"['love', 'work', 'aws']","['great', 'team', 'work', 'good', 'life/work', 'balance', 'alot', 'learn']","['team', 'great', 'mine', 'less', 'vacation', 'time']",empReview_71741075,4.0,Amazon,positive,positive,positive,"Toronto, ON",2022-12-09,current employee,<1 yrs,0.0,0.5,0.5,0.7906,0.0,0.709,0.291,0.6249,0.70775,positive,positive,positive
['meh'],"['okay', 'learn']","['best', 'work', 'life', 'balance']",empReview_72081713,3.0,Amazon,neutral,neutral,neutral,,2022-12-22,former employee,,0.0,0.725,0.275,0.2263,0.402,0.598,0.0,-0.5216,-0.14764999999999998,positive,negative,negative
"['good', 'team', 'experience']","['competitive', 'pay', 'experience', 'team', 'member']","['work', 'load', 'timing', 'hectic']",empReview_71694271,5.0,Amazon,positive,positive,positive,,2022-12-07,former employee,<1 yrs,0.23,0.492,0.279,0.0772,0.0,1.0,0.0,0.0,0.0386,negative,negative,negative
"['look', 'somewhere', 'else']","['pro', 'company']","['long', 'walk', 'poor', 'culture', 'play', 'hard', 'work', 'hard']",empReview_72596591,1.0,Amazon,negative,negative,negative,,2023-01-13,former employee,<1 yrs,0.268,0.732,0.0,-0.296,0.48,0.325,0.195,-0.3612,-0.3286,negative,negative,negative
"['good', 'start', 'fresher']","['flexible', 'shift', '4', 'day', 'work']","['long', 'work', 'hour', 'unrealistic', 'target']",empReview_71704127,4.0,Amazon,positive,neutral,negative,"Bolton, ON",2022-12-07,current employee,3-5 yrs,0.0,0.678,0.322,0.2263,0.0,1.0,0.0,0.0,0.11315,positive,negative,positive
"['winter', 'job']","['good', 'pay', 'nica', 'benefit', 'good', 'work', 'llife', 'balance']","['bad', 'manager', 'workloads', 'dull', 'task']",empReview_72046063,3.0,Amazon,neutral,neutral,neutral,"Brampton, ON",2022-12-21,former employee,<1 yrs,0.0,0.323,0.677,0.8126,0.608,0.392,0.0,-0.7351,0.03875000000000001,positive,negative,negative
"['general', 'labour']","['high', 'base', 'salary', 'field']","['labour', 'intensive', 'work', 'longer', 'period', 'time']",empReview_72052790,3.0,Amazon,neutral,neutral,neutral,"Mississauga, ON",2022-12-21,current employee,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,negative,negative,negative
"['great', 'experience']","['good', 'work', 'environment', 'learn', 'many', 'thing']","['fast', 'paced', 'environment', 'long', 'timing']",empReview_72062154,3.0,Amazon,neutral,neutral,neutral,"Brampton, ON",2022-12-22,former employee,<1 yrs,0.0,0.707,0.293,0.4404,0.0,1.0,0.0,0.0,0.2202,positive,negative,positive
"['really', 'place', 'work', 'hard', 'fun', 'come', 'together']","['great', 'support', 'structure', 'numerous', 'resource', 'avail', 'fair', 'compensation', 'great', 'product', 'technology', 'work', 'give', 'day', '1', 'responsibility', 'design', 'build', 'product', 'feel', 'really', 'engage']","['get', 'intense', 'sometimes']",empReview_71673211,5.0,Amazon,positive,positive,positive,"Vancouver, BC",2022-12-06,current employee,<1 yrs,0.0,0.656,0.344,0.9497,0.0,0.758,0.242,0.1513,0.5505,positive,positive,positive
"['positive', 'environment']","['positive', 'manager', 'good', 'safety']","['late', 'shift', 'would', 'prefer', 'morning']",empReview_71632379,5.0,Amazon,neutral,neutral,neutral,Associate in Coteau,2022-12-05,current employee,<1 yrs,0.0,0.177,0.823,0.8519,0.0,1.0,0.0,0.0,0.42595,positive,negative,positive
['meh'],"['low', 'barrier', 'entry', 'salary']","['low', 'wlb', 'long', 'hour', 'manager', 'ping', '5pm']",empReview_71918939,3.0,Amazon,neutral,neutral,neutral,"Vancouver, BC",2022-12-16,current employee,,0.419,0.581,0.0,-0.3818,0.16,0.84,0.0,-0.2732,-0.3275,negative,negative,negative
"['worked', 'several', 'different', 'department']","['come', 'company', 'lot', 'growth', 'innovation', 'etc']","['productivity', 'expectation', 'high', 'value', 'employee', 'like', 'one', 'would', 'like', 'physically', 'tax']",empReview_71518243,5.0,Amazon,negative,error,positive,,2022-11-30,former employee,,0.0,0.794,0.206,0.3818,0.0,0.697,0.303,0.7506,0.5662,positive,positive,positive
"['amazing', 'place']","['gain', 'new', 'knowledge', 'everyday', 'amazing', 'teammate', 'amaze', 'manager', 'non-aws', 'oncalls', 'crazy', 'usually', 'describe', 'immigration', 'assistance']","['amount', 'legacy', 'code']",empReview_71518602,5.0,Amazon,positive,positive,positive,,2022-11-30,current employee,<1 yrs,0.0,0.619,0.381,0.9269,0.0,1.0,0.0,0.0,0.46345,positive,negative,positive
"['great', 'experience']","['amount', 'resource', 'career', 'growth', 'work', 'flexibility', 'problem', 'really', 'interest', 'engage', 'fortunate', 'land', 'good', 'manger', 'great', 'equipment', 'resource', 'job', 'right']","['amount', 'information', 'absorb', 'first', 'three', 'month', 'health', 'plan', 'ok', 'use', 'pay', 'nothing', 'medicine', 'fully', 'cover']",empReview_71519702,5.0,Amazon,positive,error,positive,"Vancouver, BC",2022-11-30,current employee,<1 yrs,0.058,0.497,0.444,0.9506,0.053,0.947,0.0,-0.1027,0.42395,positive,negative,positive
"['fun', 'engage', 'peculiar']","['engagement', 'activity', 'good', 'benefit', 'compensation', 'great', 'atmosphere', 'helpful', 'team', 'peculiar', 'culture', 'good', 'way']","['work', 'tough', 'aa', ""'s"", 'try', 'reward', 'consistent', 'basis', 'hard', 'work']",empReview_71531502,5.0,Amazon,positive,positive,positive,"London, ON",2022-12-01,current employee,<1 yrs,0.0,0.409,0.591,0.9595,0.106,0.706,0.188,0.6369,0.7982,positive,positive,positive
"['development', 'software']","['great', 'culture', 'work', 'ethic']","['internal', 'career', 'growth', 'take', 'time']",empReview_71477020,5.0,Amazon,positive,positive,positive,,2022-11-29,former employee,<1 yrs,0.0,0.494,0.506,0.6249,0.0,0.606,0.394,0.3818,0.50335,positive,positive,positive
